issue_key,summary,description,priority,story_points,dependencies,pre_mapped_skills
TSK-001,Task 1: Enhancement,Detailed description for task 1. This is a technical task.,Medium,8,"TSK-100,TSK-080","REST APIs,PostgreSQL,Docker"
TSK-002,Task 2: Documentation,Detailed description for task 2. This is a bug fix.,High,3,TSK-077,"GCP,Terraform,CI/CD"
TSK-003,Task 3: Feature,Detailed description for task 3. This is a documentation update.,Medium,13,"TSK-099,TSK-100,TSK-089",Docker
TSK-004,Task 4: Enhancement,Detailed description for task 4. This is a bug fix.,Low,8,TSK-190,"System Architecture,Agile"
TSK-005,Task 5: Enhancement,Detailed description for task 5. This is a documentation update.,High,8,"TSK-174,TSK-092","Python,AWS"
TSK-006,Task 6: Documentation,Detailed description for task 6. This is a user story.,Medium,2,"TSK-196,TSK-029,TSK-122",DevOps
TSK-007,Task 7: Documentation,Detailed description for task 7. This is a technical task.,Low,5,TSK-044,"Git,MongoDB"
TSK-008,Task 8: Bug,Detailed description for task 8. This is a user story.,Low,3,,UI/UX Design
TSK-009,Task 9: Feature,Detailed description for task 9. This is a user story.,High,5,,"Agile,Data Analysis,JavaScript,PostgreSQL"
TSK-010,Task 10: Feature,Detailed description for task 10. This is a user story.,Low,2,"TSK-137,TSK-155,TSK-142",AWS
TSK-011,Task 11: Documentation,Detailed description for task 11. This is a user story.,Low,1,"TSK-169,TSK-138,TSK-166","Jenkins,PostgreSQL"
TSK-012,Task 12: Feature,Detailed description for task 12. This is a technical task.,Medium,2,"TSK-011,TSK-073","Angular,Node.js,REST APIs,Azure"
TSK-013,Task 13: Documentation,Detailed description for task 13. This is a user story.,Medium,5,"TSK-115,TSK-103,TSK-100","REST APIs,System Architecture"
TSK-014,Task 14: Feature,Detailed description for task 14. This is a documentation update.,Medium,1,"TSK-103,TSK-142","GCP,AWS"
TSK-015,Task 15: Enhancement,Detailed description for task 15. This is a user story.,High,8,"TSK-180,TSK-145","AWS,Ansible,DevOps,System Architecture"
