issue_key,summary,description,priority,story_points,dependencies,pre_mapped_skills
TSK-001,Task 1: Bug,Detailed description for task 1. This is a user story.,1,8,"TSK-107,TSK-035","Project Management,Elasticsearch,Jenkins"
TSK-002,Task 2: Feature,Detailed description for task 2. This is a technical task.,2,5,TSK-052,"Ansible,JavaScript,AWS,MongoDB"
TSK-003,Task 3: Bug,Detailed description for task 3. This is a user story.,2,2,"TSK-014,TSK-126,TSK-029","UI/UX Design,Elasticsearch,JavaScript,Python"
TSK-004,Task 4: Bug,Detailed description for task 4. This is a bug fix.,1,3,,"MongoDB,Prometheus"
TSK-005,Task 5: Documentation,Detailed description for task 5. This is a user story.,2,2,,"Redis,Docker,Elasticsearch,RabbitMQ"
TSK-006,Task 6: Bug,Detailed description for task 6. This is a documentation update.,3,1,"TSK-199,TSK-196","Microservices,Elasticsearch"
TSK-007,Task 7: Documentation,Detailed description for task 7. This is a user story.,2,5,"TSK-180,TSK-061","System Architecture,Git,Machine Learning"
TSK-008,Task 8: Documentation,Detailed description for task 8. This is a technical task.,2,2,,Redis
TSK-009,Task 9: Bug,Detailed description for task 9. This is a technical task.,3,8,"TSK-039,TSK-008",Java
TSK-010,Task 10: Bug,Detailed description for task 10. This is a technical task.,3,8,,"Elasticsearch,GraphQL,AWS"
TSK-011,Task 11: Documentation,Detailed description for task 11. This is a user story.,1,2,"TSK-062,TSK-010,TSK-115",System Architecture
TSK-012,Task 12: Enhancement,Detailed description for task 12. This is a bug fix.,1,1,,"Java,Prometheus"
TSK-013,Task 13: Enhancement,Detailed description for task 13. This is a user story.,1,1,TSK-019,"GCP,Microservices"
TSK-014,Task 14: Enhancement,Detailed description for task 14. This is a bug fix.,3,1,"TSK-105,TSK-020,TSK-057","PostgreSQL,GCP,MongoDB,System Architecture"
TSK-015,Task 15: Feature,Detailed description for task 15. This is a bug fix.,1,8,"TSK-090,TSK-172","Agile,GraphQL,RabbitMQ"
TSK-016,Task 16: Bug,Detailed description for task 16. This is a bug fix.,3,2,"TSK-170,TSK-019",JavaScript
TSK-017,Task 17: Feature,Detailed description for task 17. This is a bug fix.,1,1,"TSK-055,TSK-085","RabbitMQ,REST APIs,Elasticsearch"
TSK-018,Task 18: Bug,Detailed description for task 18. This is a bug fix.,3,8,TSK-187,"Docker,MongoDB"
